"plj0014_v3","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","2011","Bremen","inadequately","1","","",""
"No","2011","Bremen","general elemantary","1","","",""
"No","2011","Bremen","middle vocational","1","","",""
"No","2011","Bremen","vocational + Abi","1","","",""
"No","2011","Bremen","higher vocational","","","",""
"No","2011","Bremen","higher education","3","","",""
"No","2011","North Rhine-Westphalia","in school","6","","",""
"No","2011","North Rhine-Westphalia","inadequately","32","0.361761672828298","0.260206609257565","0.463316736399031"
"No","2011","North Rhine-Westphalia","general elemantary","79","0.148563185579582","0.117604969647215","0.179521401511949"
"No","2011","North Rhine-Westphalia","middle vocational","115","0.0742336377796398","0.0630797448488412","0.0853875307104384"
"No","2011","North Rhine-Westphalia","vocational + Abi","23","","",""
"No","2011","North Rhine-Westphalia","higher vocational","9","","",""
"No","2011","North Rhine-Westphalia","higher education","44","0.0875056318105386","0.0691158089351587","0.105895454685919"
"No","2011","Hesse","in school","1","","",""
"No","2011","Hesse","inadequately","8","","",""
"No","2011","Hesse","general elemantary","23","","",""
"No","2011","Hesse","middle vocational","47","0.0998628081769035","0.0769021844597817","0.122823431894025"
"No","2011","Hesse","vocational + Abi","9","","",""
"No","2011","Hesse","higher vocational","3","","",""
"No","2011","Hesse","higher education","17","","",""
"No","2011","Rhineland-Palatinate,Saarland","in school","2","","",""
"No","2011","Rhineland-Palatinate,Saarland","inadequately","4","","",""
"No","2011","Rhineland-Palatinate,Saarland","general elemantary","23","","",""
"No","2011","Rhineland-Palatinate,Saarland","middle vocational","29","","",""
"No","2011","Rhineland-Palatinate,Saarland","vocational + Abi","5","","",""
"No","2011","Rhineland-Palatinate,Saarland","higher vocational","2","","",""
"No","2011","Rhineland-Palatinate,Saarland","higher education","8","","",""
"No","2011","Baden-Württemberg","in school","4","","",""
"No","2011","Baden-Württemberg","inadequately","13","","",""
"No","2011","Baden-Württemberg","general elemantary","75","0.22438371361107","0.181048372676737","0.267719054545403"
"No","2011","Baden-Württemberg","middle vocational","77","0.0791956162807137","0.0643961150469226","0.0939951175145048"
"No","2011","Baden-Württemberg","vocational + Abi","20","","",""
"No","2011","Baden-Württemberg","higher vocational","13","","",""
"No","2011","Baden-Württemberg","higher education","32","0.0851196594948372","0.0627346124246327","0.107504706565042"
"No","2011","Bavaria","in school","1","","",""
"No","2011","Bavaria","inadequately","11","","",""
"No","2011","Bavaria","general elemantary","33","0.141741861724796","0.10591115034551","0.177572573104082"
"No","2011","Bavaria","middle vocational","72","0.0697842494999312","0.0580531276758182","0.0815153713240443"
"No","2011","Bavaria","vocational + Abi","22","","",""
"No","2011","Bavaria","higher vocational","8","","",""
"No","2011","Bavaria","higher education","35","0.0919184934196351","0.0706673265744206","0.11316966026485"
"No","2011","Berlin","in school","","","",""
"No","2011","Berlin","inadequately","3","","",""
"No","2011","Berlin","general elemantary","3","","",""
"No","2011","Berlin","middle vocational","7","","",""
"No","2011","Berlin","vocational + Abi","5","","",""
"No","2011","Berlin","higher vocational","1","","",""
"No","2011","Berlin","higher education","17","","",""
"No","2011","Brandenburg","in school","","","",""
"No","2011","Brandenburg","inadequately","","","",""
"No","2011","Brandenburg","general elemantary","2","","",""
"No","2011","Brandenburg","middle vocational","1","","",""
"No","2011","Brandenburg","vocational + Abi","2","","",""
"No","2011","Brandenburg","higher vocational","","","",""
"No","2011","Brandenburg","higher education","1","","",""
"No","2011","Mecklenburg-Western Pomerania","in school","","","",""
"No","2011","Mecklenburg-Western Pomerania","inadequately","","","",""
"No","2011","Mecklenburg-Western Pomerania","general elemantary","","","",""
"No","2011","Mecklenburg-Western Pomerania","middle vocational","","","",""
"No","2011","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"No","2011","Mecklenburg-Western Pomerania","higher vocational","","","",""
"No","2011","Mecklenburg-Western Pomerania","higher education","","","",""
"No","2011","Saxony","in school","","","",""
"No","2011","Saxony","inadequately","","","",""
"No","2011","Saxony","general elemantary","1","","",""
"No","2011","Saxony","middle vocational","2","","",""
"No","2011","Saxony","vocational + Abi","2","","",""
"No","2011","Saxony","higher vocational","","","",""
"No","2011","Saxony","higher education","3","","",""
"No","2011","Saxony-Anhalt","in school","","","",""
"No","2011","Saxony-Anhalt","inadequately","","","",""
"No","2011","Saxony-Anhalt","general elemantary","","","",""
"No","2011","Saxony-Anhalt","middle vocational","","","",""
"No","2011","Saxony-Anhalt","vocational + Abi","","","",""
"No","2011","Saxony-Anhalt","higher vocational","","","",""
"No","2011","Saxony-Anhalt","higher education","","","",""
"No","2011","Thuringia","in school","","","",""
"No","2011","Thuringia","inadequately","","","",""
"No","2011","Thuringia","general elemantary","","","",""
"No","2011","Thuringia","middle vocational","","","",""
"No","2011","Thuringia","vocational + Abi","","","",""
"No","2011","Thuringia","higher vocational","","","",""
"No","2011","Thuringia","higher education","1","","",""
"Yes","2012","Schleswig-Holstein","in school","23","","",""
"Yes","2012","Schleswig-Holstein","inadequately","12","","",""
"Yes","2012","Schleswig-Holstein","general elemantary","104","0.850998681761582","0.785343596705032","0.916653766818132"
"Yes","2012","Schleswig-Holstein","middle vocational","495","0.968557732465696","0.953367521796547","0.983747943134844"
"Yes","2012","Schleswig-Holstein","vocational + Abi","80","0.9616428640537","0.920571564903407","1.00271416320399"
"Yes","2012","Schleswig-Holstein","higher vocational","63","0.981785889178032","0.94927687551911","1.01429490283695"
"Yes","2012","Schleswig-Holstein","higher education","148","0.931089336864175","0.891467267319554","0.970711406408797"
"Yes","2012","Hamburg","in school","6","","",""
"Yes","2012","Hamburg","inadequately","1","","",""
"Yes","2012","Hamburg","general elemantary","25","","",""
"Yes","2012","Hamburg","middle vocational","171","0.933742450388335","0.897705022772502","0.969779878004168"
"Yes","2012","Hamburg","vocational + Abi","40","0.975750002192279","0.929773175240709","1.02172682914385"
"Yes","2012","Hamburg","higher vocational","24","","",""
"Yes","2012","Hamburg","higher education","133","0.971815292983418","0.944202701059823","0.999427884907014"
"Yes","2012","Lower Saxony","in school","42","0.866948686679187","0.76985176947055","0.964045603887824"
"Yes","2012","Lower Saxony","inadequately","29","","",""
"Yes","2012","Lower Saxony","general elemantary","309","0.928191452666203","0.900378893824299","0.956004011508106"
"Yes","2012","Lower Saxony","middle vocational","1288","0.967730347036746","0.958215222441925","0.977245471631568"
"Yes","2012","Lower Saxony","vocational + Abi","160","0.9363173470731","0.899718100579813","0.972916593566386"
"Yes","2012","Lower Saxony","higher vocational","140","0.956925763585325","0.923650003098701","0.990201524071948"
"Yes","2012","Lower Saxony","higher education","464","0.921949751851252","0.898051497438799","0.945848006263705"
"Yes","2012","Bremen","in school","3","","",""
"Yes","2012","Bremen","inadequately","4","","",""
"Yes","2012","Bremen","general elemantary","16","","",""
"Yes","2012","Bremen","middle vocational","83","0.983072654876735","0.955648966794676","1.01049634295879"
"Yes","2012","Bremen","vocational + Abi","14","","",""
"Yes","2012","Bremen","higher vocational","4","","",""
"Yes","2012","Bremen","higher education","54","0.883613175027902","0.801784581423149","0.965441768632654"
"Yes","2012","North Rhine-Westphalia","in school","131","0.993285588983782","0.97940642525174","1.00716475271582"
"Yes","2012","North Rhine-Westphalia","inadequately","66","0.642116481875255","0.554118355965231","0.73011460778528"
"Yes","2012","North Rhine-Westphalia","general elemantary","565","0.822024799359505","0.793710143498046","0.850339455220964"
"Yes","2012","North Rhine-Westphalia","middle vocational","2317","0.918701901467849","0.907897899530174","0.929505903405524"
"Yes","2012","North Rhine-Westphalia","vocational + Abi","519","0.89582807966308","0.87045879835725","0.92119736096891"
"Yes","2012","North Rhine-Westphalia","higher vocational","302","0.947994032930693","0.923395720550266","0.972592345311121"
"Yes","2012","North Rhine-Westphalia","higher education","1092","0.91141530180565","0.895070882551626","0.927759721059674"
"Yes","2012","Hesse","in school","50","0.830978854229248","0.731021047550631","0.930936660907866"
"Yes","2012","Hesse","inadequately","22","","",""
"Yes","2012","Hesse","general elemantary","167","0.800655227962387","0.744725172182942","0.856585283741832"
"Yes","2012","Hesse","middle vocational","762","0.891783072123567","0.87052037380366","0.913045770443475"
"Yes","2012","Hesse","vocational + Abi","151","0.878695354651573","0.829030184413664","0.928360524889481"
"Yes","2012","Hesse","higher vocational","99","0.995638289049921","0.982786409700866","1.00849016839898"
"Yes","2012","Hesse","higher education","480","0.901757244324868","0.876125491935568","0.927388996714167"
"Yes","2012","Rhineland-Palatinate,Saarland","in school","23","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","inadequately","18","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","general elemantary","198","0.866704414931981","0.821892310313381","0.911516519550582"
"Yes","2012","Rhineland-Palatinate,Saarland","middle vocational","752","0.918806056331392","0.899807894516391","0.937804218146393"
"Yes","2012","Rhineland-Palatinate,Saarland","vocational + Abi","101","0.906309624621482","0.851605430123743","0.961013819119221"
"Yes","2012","Rhineland-Palatinate,Saarland","higher vocational","103","0.988744247779802","0.968469256859266","1.00901923870034"
"Yes","2012","Rhineland-Palatinate,Saarland","higher education","258","0.958264471295078","0.934276798657422","0.982252143932735"
"Yes","2012","Baden-Württemberg","in school","58","0.826622997158952","0.733874348374479","0.919371645943425"
"Yes","2012","Baden-Württemberg","inadequately","23","","",""
"Yes","2012","Baden-Württemberg","general elemantary","329","0.77216805254409","0.731166689901845","0.813169415186335"
"Yes","2012","Baden-Württemberg","middle vocational","1459","0.900723159552162","0.88586507132133","0.915581247782995"
"Yes","2012","Baden-Württemberg","vocational + Abi","199","0.818876763487428","0.76921313345985","0.868540393515006"
"Yes","2012","Baden-Württemberg","higher vocational","226","0.947921776581417","0.919634688131967","0.976208865030866"
"Yes","2012","Baden-Württemberg","higher education","715","0.87356843203163","0.850079614784545","0.897057249278714"
"Yes","2012","Bavaria","in school","49","0.946185922145692","0.883639959483548","1.00873188480784"
"Yes","2012","Bavaria","inadequately","36","0.613594315830825","0.478627964939003","0.748560666722647"
"Yes","2012","Bavaria","general elemantary","419","0.831544037074738","0.79785064456703","0.865237429582446"
"Yes","2012","Bavaria","middle vocational","2205","0.918397505212916","0.907221677655456","0.929573332770377"
"Yes","2012","Bavaria","vocational + Abi","226","0.848825008940742","0.805282798123435","0.89236721975805"
"Yes","2012","Bavaria","higher vocational","295","0.911512195110815","0.879691451058889","0.943332939162741"
"Yes","2012","Bavaria","higher education","816","0.877634317218168","0.855908356400775","0.899360278035561"
"Yes","2012","Berlin","in school","16","","",""
"Yes","2012","Berlin","inadequately","8","","",""
"Yes","2012","Berlin","general elemantary","63","0.954296966932147","0.903913226438484","1.00468070742581"
"Yes","2012","Berlin","middle vocational","421","0.990329250588915","0.981025169338897","0.999633331838934"
"Yes","2012","Berlin","vocational + Abi","52","0.823731030009991","0.729637781448176","0.917824278571807"
"Yes","2012","Berlin","higher vocational","67","0.988264912433307","0.962668830589537","1.01386099427708"
"Yes","2012","Berlin","higher education","361","0.959144435008305","0.939293360217818","0.978995509798792"
"Yes","2012","Brandenburg","in school","11","","",""
"Yes","2012","Brandenburg","inadequately","8","","",""
"Yes","2012","Brandenburg","general elemantary","81","0.976274640725851","0.943532923915313","1.00901635753639"
"Yes","2012","Brandenburg","middle vocational","555","0.996847678876794","0.992204839014127","1.00149051873946"
"Yes","2012","Brandenburg","vocational + Abi","62","0.935021756334345","0.875555449750596","0.994488062918094"
"Yes","2012","Brandenburg","higher vocational","76","1","1","1"
"Yes","2012","Brandenburg","higher education","281","0.991737709620568","0.981191327230128","1.00228409201101"
"Yes","2012","Mecklenburg-Western Pomerania","in school","8","","",""
"Yes","2012","Mecklenburg-Western Pomerania","inadequately","11","","",""
"Yes","2012","Mecklenburg-Western Pomerania","general elemantary","38","0.959675066865189","0.897935337520261","1.02141479621012"
"Yes","2012","Mecklenburg-Western Pomerania","middle vocational","346","0.998065421189144","0.993442078644155","1.00268876373413"
