"plj0014_v3","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"No","2012","Schleswig-Holstein","no migration background","","","",""
"No","2012","Schleswig-Holstein","direct migration background","37","0.568349512137547","0.469781479650215","0.666917544624879"
"No","2012","Schleswig-Holstein","indirect migration background","7","","",""
"No","2012","Hamburg","no migration background","","","",""
"No","2012","Hamburg","direct migration background","25","","",""
"No","2012","Hamburg","indirect migration background","10","","",""
"No","2012","Lower Saxony","no migration background","1","","",""
"No","2012","Lower Saxony","direct migration background","93","0.395895021793547","0.336451073916728","0.455338969670366"
"No","2012","Lower Saxony","indirect migration background","15","","",""
"No","2012","Bremen","no migration background","","","",""
"No","2012","Bremen","direct migration background","10","","",""
"No","2012","Bremen","indirect migration background","2","","",""
"No","2012","North Rhine-Westphalia","no migration background","4","","",""
"No","2012","North Rhine-Westphalia","direct migration background","366","0.480816311735471","0.448192416668283","0.51344020680266"
"No","2012","North Rhine-Westphalia","indirect migration background","90","0.26095716366954","0.215402441689018","0.306511885650063"
"No","2012","Hesse","no migration background","1","","",""
"No","2012","Hesse","direct migration background","132","0.555493215262861","0.49944998028262","0.611536450243102"
"No","2012","Hesse","indirect migration background","25","","",""
"No","2012","Rhineland-Palatinate,Saarland","no migration background","","","",""
"No","2012","Rhineland-Palatinate,Saarland","direct migration background","78","0.463209020230892","0.393041143553808","0.533376896907976"
"No","2012","Rhineland-Palatinate,Saarland","indirect migration background","18","","",""
"No","2012","Baden-Württemberg","no migration background","2","","",""
"No","2012","Baden-Württemberg","direct migration background","234","0.587914943381399","0.544814681336029","0.631015205426769"
"No","2012","Baden-Württemberg","indirect migration background","61","0.308311019765156","0.24939382754804","0.367228211982273"
"No","2012","Bavaria","no migration background","4","","",""
"No","2012","Bavaria","direct migration background","233","0.589237943639286","0.546201463437421","0.632274423841151"
"No","2012","Bavaria","indirect migration background","40","0.28826355515325","0.22959777891476","0.346929331391739"
"No","2012","Berlin","no migration background","","","",""
"No","2012","Berlin","direct migration background","41","0.466592243500266","0.359265620255051","0.57391886674548"
"No","2012","Berlin","indirect migration background","8","","",""
"No","2012","Brandenburg","no migration background","","","",""
"No","2012","Brandenburg","direct migration background","13","","",""
"No","2012","Brandenburg","indirect migration background","","","",""
"No","2012","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","2012","Mecklenburg-Western Pomerania","direct migration background","6","","",""
"No","2012","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","2012","Saxony","no migration background","","","",""
"No","2012","Saxony","direct migration background","15","","",""
"No","2012","Saxony","indirect migration background","1","","",""
"No","2012","Saxony-Anhalt","no migration background","","","",""
"No","2012","Saxony-Anhalt","direct migration background","6","","",""
"No","2012","Saxony-Anhalt","indirect migration background","","","",""
"No","2012","Thuringia","no migration background","","","",""
"No","2012","Thuringia","direct migration background","6","","",""
"No","2012","Thuringia","indirect migration background","","","",""
"Yes","2013","Schleswig-Holstein","no migration background","799","1","1","1"
"Yes","2013","Schleswig-Holstein","direct migration background","52","0.405164038690638","0.301408110642321","0.508919966738955"
"Yes","2013","Schleswig-Holstein","indirect migration background","25","","",""
"Yes","2013","Hamburg","no migration background","345","1","1","1"
"Yes","2013","Hamburg","direct migration background","21","","",""
"Yes","2013","Hamburg","indirect migration background","18","","",""
"Yes","2013","Lower Saxony","no migration background","2169","0.998846727949175","0.997418710437092","1.00027474546126"
"Yes","2013","Lower Saxony","direct migration background","148","0.635631327671935","0.573969935733292","0.697292719610577"
"Yes","2013","Lower Saxony","indirect migration background","76","0.949849958651722","0.903451689490645","0.996248227812799"
"Yes","2013","Bremen","no migration background","146","1","1","1"
"Yes","2013","Bremen","direct migration background","20","","",""
"Yes","2013","Bremen","indirect migration background","7","","",""
"Yes","2013","North Rhine-Westphalia","no migration background","4039","0.998439153751381","0.997222303644535","0.999656003858228"
"Yes","2013","North Rhine-Westphalia","direct migration background","463","0.547549396610673","0.512461641578779","0.582637151642567"
"Yes","2013","North Rhine-Westphalia","indirect migration background","259","0.802706597354379","0.76002805723778","0.845385137470978"
"Yes","2013","Hesse","no migration background","1378","1","1","1"
"Yes","2013","Hesse","direct migration background","153","0.413980799295178","0.356696587307679","0.471265011282677"
"Yes","2013","Hesse","indirect migration background","87","0.729425271400936","0.64640469065854","0.812445852143331"
"Yes","2013","Rhineland-Palatinate,Saarland","no migration background","1191","1","1","1"
"Yes","2013","Rhineland-Palatinate,Saarland","direct migration background","111","0.599693904722739","0.528899310253173","0.670488499192304"
"Yes","2013","Rhineland-Palatinate,Saarland","indirect migration background","53","0.747629505972674","0.647985961797752","0.847273050147596"
"Yes","2013","Baden-Württemberg","no migration background","2387","0.998859696665073","0.99750637056275","1.0002130227674"
"Yes","2013","Baden-Württemberg","direct migration background","235","0.539579298163794","0.492632151333276","0.586526444994312"
"Yes","2013","Baden-Württemberg","indirect migration background","163","0.774264837673413","0.718512177946875","0.830017497399951"
"Yes","2013","Bavaria","no migration background","3408","0.998574839999829","0.997309223672583","0.999840456327075"
"Yes","2013","Bavaria","direct migration background","237","0.472479505667518","0.42593717660786","0.519021834727177"
"Yes","2013","Bavaria","indirect migration background","179","0.79211053476859","0.737741660601665","0.846479408935514"
"Yes","2013","Berlin","no migration background","877","1","1","1"
"Yes","2013","Berlin","direct migration background","33","0.558680895059971","0.446304335012234","0.671057455107707"
"Yes","2013","Berlin","indirect migration background","39","0.949799954673048","0.884534707046733","1.01506520229936"
"Yes","2013","Brandenburg","no migration background","985","1","1","1"
"Yes","2013","Brandenburg","direct migration background","25","","",""
"Yes","2013","Brandenburg","indirect migration background","11","","",""
"Yes","2013","Mecklenburg-Western Pomerania","no migration background","568","1","1","1"
"Yes","2013","Mecklenburg-Western Pomerania","direct migration background","7","","",""
"Yes","2013","Mecklenburg-Western Pomerania","indirect migration background","9","","",""
"Yes","2013","Saxony","no migration background","1665","1","1","1"
"Yes","2013","Saxony","direct migration background","22","","",""
"Yes","2013","Saxony","indirect migration background","16","","",""
"Yes","2013","Saxony-Anhalt","no migration background","940","1","1","1"
"Yes","2013","Saxony-Anhalt","direct migration background","15","","",""
"Yes","2013","Saxony-Anhalt","indirect migration background","14","","",""
"Yes","2013","Thuringia","no migration background","979","1","1","1"
"Yes","2013","Thuringia","direct migration background","12","","",""
"Yes","2013","Thuringia","indirect migration background","11","","",""
"No","2013","Schleswig-Holstein","no migration background","","","",""
"No","2013","Schleswig-Holstein","direct migration background","34","0.594835961309362","0.491080033261045","0.698591889357678"
"No","2013","Schleswig-Holstein","indirect migration background","7","","",""
"No","2013","Hamburg","no migration background","","","",""
"No","2013","Hamburg","direct migration background","22","","",""
"No","2013","Hamburg","indirect migration background","7","","",""
"No","2013","Lower Saxony","no migration background","1","","",""
"No","2013","Lower Saxony","direct migration background","86","0.364368672328066","0.302707280389423","0.426030064266708"
"No","2013","Lower Saxony","indirect migration background","9","","",""
"No","2013","Bremen","no migration background","","","",""
"No","2013","Bremen","direct migration background","10","","",""
"No","2013","Bremen","indirect migration background","2","","",""
"No","2013","North Rhine-Westphalia","no migration background","4","","",""
"No","2013","North Rhine-Westphalia","direct migration background","310","0.452450603389327","0.417362848357433","0.487538358421221"
"No","2013","North Rhine-Westphalia","indirect migration background","75","0.197293402645621","0.154614862529022","0.23997194276222"
"No","2013","Hesse","no migration background","","","",""
"No","2013","Hesse","direct migration background","131","0.586019200704822","0.528734988717323","0.643303412692321"
"No","2013","Hesse","indirect migration background","23","","",""
