"erwst","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Part-time","1995","Bremen","(2a) intermediate vocational","","","",""
"Part-time","1995","Bremen","(2c_gen) general maturity certificate","","","",""
"Part-time","1995","Bremen","(2c_voc) vocational maturity certificate","1","","",""
"Part-time","1995","Bremen","(3a) lower tertiary education","","","",""
"Part-time","1995","Bremen","(3b) higher tertiary education","1","","",""
"Part-time","1995","North Rhine-Westphalia","(0) in school","","","",""
"Part-time","1995","North Rhine-Westphalia","(1a) inadequately completed","8","","",""
"Part-time","1995","North Rhine-Westphalia","(1b) general elementary school","19","","",""
"Part-time","1995","North Rhine-Westphalia","(1c) basic vocational qualification","67","0.0771833807010864","0.0589499758270796","0.0954167855750932"
"Part-time","1995","North Rhine-Westphalia","(2b) intermediate general qualification","2","","",""
"Part-time","1995","North Rhine-Westphalia","(2a) intermediate vocational","45","0.101399987827477","0.0712084913181684","0.131591484336786"
"Part-time","1995","North Rhine-Westphalia","(2c_gen) general maturity certificate","7","","",""
"Part-time","1995","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","14","","",""
"Part-time","1995","North Rhine-Westphalia","(3a) lower tertiary education","7","","",""
"Part-time","1995","North Rhine-Westphalia","(3b) higher tertiary education","26","","",""
"Part-time","1995","Hesse","(0) in school","","","",""
"Part-time","1995","Hesse","(1a) inadequately completed","3","","",""
"Part-time","1995","Hesse","(1b) general elementary school","19","","",""
"Part-time","1995","Hesse","(1c) basic vocational qualification","23","","",""
"Part-time","1995","Hesse","(2b) intermediate general qualification","2","","",""
"Part-time","1995","Hesse","(2a) intermediate vocational","15","","",""
"Part-time","1995","Hesse","(2c_gen) general maturity certificate","5","","",""
"Part-time","1995","Hesse","(2c_voc) vocational maturity certificate","6","","",""
"Part-time","1995","Hesse","(3a) lower tertiary education","1","","",""
"Part-time","1995","Hesse","(3b) higher tertiary education","9","","",""
"Part-time","1995","Rhineland-Palatinate,Saarland","(0) in school","","","",""
"Part-time","1995","Rhineland-Palatinate,Saarland","(1a) inadequately completed","2","","",""
"Part-time","1995","Rhineland-Palatinate,Saarland","(1b) general elementary school","14","","",""
"Part-time","1995","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","13","","",""
"Part-time","1995","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","3","","",""
"Part-time","1995","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","15","","",""
"Part-time","1995","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","2","","",""
"Part-time","1995","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","1","","",""
"Part-time","1995","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","2","","",""
"Part-time","1995","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","3","","",""
"Part-time","1995","Baden-Württemberg","(0) in school","","","",""
"Part-time","1995","Baden-Württemberg","(1a) inadequately completed","15","","",""
"Part-time","1995","Baden-Württemberg","(1b) general elementary school","21","","",""
"Part-time","1995","Baden-Württemberg","(1c) basic vocational qualification","43","0.0745409933442267","0.0531657889915755","0.0959161976968778"
"Part-time","1995","Baden-Württemberg","(2b) intermediate general qualification","","","",""
"Part-time","1995","Baden-Württemberg","(2a) intermediate vocational","24","","",""
"Part-time","1995","Baden-Württemberg","(2c_gen) general maturity certificate","2","","",""
"Part-time","1995","Baden-Württemberg","(2c_voc) vocational maturity certificate","8","","",""
"Part-time","1995","Baden-Württemberg","(3a) lower tertiary education","5","","",""
"Part-time","1995","Baden-Württemberg","(3b) higher tertiary education","9","","",""
"Part-time","1995","Bavaria","(0) in school","","","",""
"Part-time","1995","Bavaria","(1a) inadequately completed","3","","",""
"Part-time","1995","Bavaria","(1b) general elementary school","17","","",""
"Part-time","1995","Bavaria","(1c) basic vocational qualification","57","0.0935089422416358","0.0700362618758288","0.116981622607443"
"Part-time","1995","Bavaria","(2b) intermediate general qualification","3","","",""
"Part-time","1995","Bavaria","(2a) intermediate vocational","29","","",""
"Part-time","1995","Bavaria","(2c_gen) general maturity certificate","3","","",""
"Part-time","1995","Bavaria","(2c_voc) vocational maturity certificate","4","","",""
"Part-time","1995","Bavaria","(3a) lower tertiary education","2","","",""
"Part-time","1995","Bavaria","(3b) higher tertiary education","5","","",""
"Part-time","1995","Berlin","(0) in school","","","",""
"Part-time","1995","Berlin","(1a) inadequately completed","1","","",""
"Part-time","1995","Berlin","(1b) general elementary school","1","","",""
"Part-time","1995","Berlin","(1c) basic vocational qualification","7","","",""
"Part-time","1995","Berlin","(2b) intermediate general qualification","1","","",""
"Part-time","1995","Berlin","(2a) intermediate vocational","8","","",""
"Part-time","1995","Berlin","(2c_gen) general maturity certificate","1","","",""
"Part-time","1995","Berlin","(2c_voc) vocational maturity certificate","3","","",""
"Part-time","1995","Berlin","(3a) lower tertiary education","9","","",""
"Part-time","1995","Berlin","(3b) higher tertiary education","7","","",""
"Part-time","1995","Brandenburg","(0) in school","","","",""
"Part-time","1995","Brandenburg","(1a) inadequately completed","","","",""
"Part-time","1995","Brandenburg","(1b) general elementary school","","","",""
"Part-time","1995","Brandenburg","(1c) basic vocational qualification","5","","",""
"Part-time","1995","Brandenburg","(2b) intermediate general qualification","1","","",""
"Part-time","1995","Brandenburg","(2a) intermediate vocational","14","","",""
"Part-time","1995","Brandenburg","(2c_gen) general maturity certificate","","","",""
"Part-time","1995","Brandenburg","(2c_voc) vocational maturity certificate","2","","",""
"Part-time","1995","Brandenburg","(3a) lower tertiary education","7","","",""
"Part-time","1995","Brandenburg","(3b) higher tertiary education","","","",""
"Part-time","1995","Mecklenburg-Western Pomerania","(0) in school","","","",""
"Part-time","1995","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"Part-time","1995","Mecklenburg-Western Pomerania","(1b) general elementary school","","","",""
"Part-time","1995","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","7","","",""
"Part-time","1995","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","","","",""
"Part-time","1995","Mecklenburg-Western Pomerania","(2a) intermediate vocational","12","","",""
"Part-time","1995","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","","","",""
"Part-time","1995","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"Part-time","1995","Mecklenburg-Western Pomerania","(3a) lower tertiary education","3","","",""
"Part-time","1995","Mecklenburg-Western Pomerania","(3b) higher tertiary education","2","","",""
"Part-time","1995","Saxony","(0) in school","","","",""
"Part-time","1995","Saxony","(1a) inadequately completed","","","",""
"Part-time","1995","Saxony","(1b) general elementary school","3","","",""
"Part-time","1995","Saxony","(1c) basic vocational qualification","11","","",""
"Part-time","1995","Saxony","(2b) intermediate general qualification","","","",""
"Part-time","1995","Saxony","(2a) intermediate vocational","24","","",""
"Part-time","1995","Saxony","(2c_gen) general maturity certificate","1","","",""
"Part-time","1995","Saxony","(2c_voc) vocational maturity certificate","","","",""
"Part-time","1995","Saxony","(3a) lower tertiary education","20","","",""
"Part-time","1995","Saxony","(3b) higher tertiary education","4","","",""
"Part-time","1995","Saxony-Anhalt","(0) in school","","","",""
"Part-time","1995","Saxony-Anhalt","(1a) inadequately completed","","","",""
"Part-time","1995","Saxony-Anhalt","(1b) general elementary school","2","","",""
"Part-time","1995","Saxony-Anhalt","(1c) basic vocational qualification","2","","",""
"Part-time","1995","Saxony-Anhalt","(2b) intermediate general qualification","","","",""
"Part-time","1995","Saxony-Anhalt","(2a) intermediate vocational","22","","",""
"Part-time","1995","Saxony-Anhalt","(2c_gen) general maturity certificate","","","",""
"Part-time","1995","Saxony-Anhalt","(2c_voc) vocational maturity certificate","","","",""
"Part-time","1995","Saxony-Anhalt","(3a) lower tertiary education","9","","",""
"Part-time","1995","Saxony-Anhalt","(3b) higher tertiary education","1","","",""
"Part-time","1995","Thuringia","(0) in school","","","",""
"Part-time","1995","Thuringia","(1a) inadequately completed","","","",""
"Part-time","1995","Thuringia","(1b) general elementary school","2","","",""
"Part-time","1995","Thuringia","(1c) basic vocational qualification","9","","",""
"Part-time","1995","Thuringia","(2b) intermediate general qualification","1","","",""
"Part-time","1995","Thuringia","(2a) intermediate vocational","18","","",""
"Part-time","1995","Thuringia","(2c_gen) general maturity certificate","","","",""
"Part-time","1995","Thuringia","(2c_voc) vocational maturity certificate","","","",""
"Part-time","1995","Thuringia","(3a) lower tertiary education","10","","",""
"Part-time","1995","Thuringia","(3b) higher tertiary education","4","","",""
"Non-working","1995","Schleswig-Holstein","(0) in school","6","","",""
"Non-working","1995","Schleswig-Holstein","(1a) inadequately completed","3","","",""
"Non-working","1995","Schleswig-Holstein","(1b) general elementary school","22","","",""
"Non-working","1995","Schleswig-Holstein","(1c) basic vocational qualification","45","0.490635573415435","0.393140824224378","0.588130322606491"
"Non-working","1995","Schleswig-Holstein","(2b) intermediate general qualification","7","","",""
"Non-working","1995","Schleswig-Holstein","(2a) intermediate vocational","23","","",""
"Non-working","1995","Schleswig-Holstein","(2c_gen) general maturity certificate","4","","",""
"Non-working","1995","Schleswig-Holstein","(2c_voc) vocational maturity certificate","6","","",""
"Non-working","1995","Schleswig-Holstein","(3a) lower tertiary education","1","","",""
"Non-working","1995","Schleswig-Holstein","(3b) higher tertiary education","2","","",""
"Non-working","1995","Hamburg","(0) in school","1","","",""
"Non-working","1995","Hamburg","(1a) inadequately completed","2","","",""
"Non-working","1995","Hamburg","(1b) general elementary school","16","","",""
"Non-working","1995","Hamburg","(1c) basic vocational qualification","21","","",""
"Non-working","1995","Hamburg","(2b) intermediate general qualification","1","","",""
"Non-working","1995","Hamburg","(2a) intermediate vocational","8","","",""
"Non-working","1995","Hamburg","(2c_gen) general maturity certificate","4","","",""
"Non-working","1995","Hamburg","(2c_voc) vocational maturity certificate","","","",""
"Non-working","1995","Hamburg","(3a) lower tertiary education","1","","",""
"Non-working","1995","Hamburg","(3b) higher tertiary education","2","","",""
"Non-working","1995","Lower Saxony","(0) in school","12","","",""
"Non-working","1995","Lower Saxony","(1a) inadequately completed","24","","",""
"Non-working","1995","Lower Saxony","(1b) general elementary school","120","0.710430660285291","0.646606609865065","0.774254710705518"
"Non-working","1995","Lower Saxony","(1c) basic vocational qualification","133","0.463558968035556","0.409007170805754","0.518110765265359"
"Non-working","1995","Lower Saxony","(2b) intermediate general qualification","14","","",""
"Non-working","1995","Lower Saxony","(2a) intermediate vocational","59","0.341051133290719","0.275997940942088","0.40610432563935"
"Non-working","1995","Lower Saxony","(2c_gen) general maturity certificate","25","","",""
"Non-working","1995","Lower Saxony","(2c_voc) vocational maturity certificate","29","","",""
"Non-working","1995","Lower Saxony","(3a) lower tertiary education","3","","",""
"Non-working","1995","Lower Saxony","(3b) higher tertiary education","16","","",""
"Non-working","1995","Bremen","(0) in school","1","","",""
"Non-working","1995","Bremen","(1a) inadequately completed","1","","",""
