"pgoeffd","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","1994","Mecklenburg-Western Pomerania","middle vocational","84","0.702536218030263","0.623341810690963","0.781730625369563"
"No","1994","Mecklenburg-Western Pomerania","vocational + Abi","3","","",""
"No","1994","Mecklenburg-Western Pomerania","higher vocational","17","","",""
"No","1994","Mecklenburg-Western Pomerania","higher education","28","","",""
"No","1994","Saxony","in school","","","",""
"No","1994","Saxony","inadequately","1","","",""
"No","1994","Saxony","general elemantary","25","","",""
"No","1994","Saxony","middle vocational","245","0.740736292240865","0.694155024069602","0.787317560412128"
"No","1994","Saxony","vocational + Abi","12","","",""
"No","1994","Saxony","higher vocational","32","0.801643411717697","0.678068011938076","0.925218811497318"
"No","1994","Saxony","higher education","91","0.527793091989211","0.455462742245773","0.600123441732649"
"No","1994","Saxony-Anhalt","in school","2","","",""
"No","1994","Saxony-Anhalt","inadequately","1","","",""
"No","1994","Saxony-Anhalt","general elemantary","21","","",""
"No","1994","Saxony-Anhalt","middle vocational","159","0.73252762647386","0.673497639771663","0.791557613176058"
"No","1994","Saxony-Anhalt","vocational + Abi","6","","",""
"No","1994","Saxony-Anhalt","higher vocational","30","0.775416571091523","0.639098562288695","0.91173457989435"
"No","1994","Saxony-Anhalt","higher education","50","0.444546797258102","0.353726765103273","0.535366829412932"
"No","1994","Thuringia","in school","2","","",""
"No","1994","Thuringia","inadequately","1","","",""
"No","1994","Thuringia","general elemantary","27","","",""
"No","1994","Thuringia","middle vocational","169","0.730356303924907","0.67249923899339","0.788213368856423"
"No","1994","Thuringia","vocational + Abi","5","","",""
"No","1994","Thuringia","higher vocational","18","","",""
"No","1994","Thuringia","higher education","47","0.515086155212432","0.41183401401463","0.618338296410234"
"Yes","1995","Schleswig-Holstein","in school","","","",""
"Yes","1995","Schleswig-Holstein","inadequately","","","",""
"Yes","1995","Schleswig-Holstein","general elemantary","4","","",""
"Yes","1995","Schleswig-Holstein","middle vocational","25","","",""
"Yes","1995","Schleswig-Holstein","vocational + Abi","3","","",""
"Yes","1995","Schleswig-Holstein","higher vocational","11","","",""
"Yes","1995","Schleswig-Holstein","higher education","5","","",""
"Yes","1995","Hamburg","in school","","","",""
"Yes","1995","Hamburg","inadequately","1","","",""
"Yes","1995","Hamburg","general elemantary","2","","",""
"Yes","1995","Hamburg","middle vocational","7","","",""
"Yes","1995","Hamburg","vocational + Abi","2","","",""
"Yes","1995","Hamburg","higher vocational","1","","",""
"Yes","1995","Hamburg","higher education","7","","",""
"Yes","1995","Lower Saxony","in school","","","",""
"Yes","1995","Lower Saxony","inadequately","2","","",""
"Yes","1995","Lower Saxony","general elemantary","15","","",""
"Yes","1995","Lower Saxony","middle vocational","70","0.256046957891796","0.207772674107441","0.304321241676151"
"Yes","1995","Lower Saxony","vocational + Abi","7","","",""
"Yes","1995","Lower Saxony","higher vocational","21","","",""
"Yes","1995","Lower Saxony","higher education","31","0.382597376770299","0.2747384688084","0.490456284732198"
"Yes","1995","Bremen","in school","","","",""
"Yes","1995","Bremen","inadequately","1","","",""
"Yes","1995","Bremen","general elemantary","","","",""
"Yes","1995","Bremen","middle vocational","8","","",""
"Yes","1995","Bremen","vocational + Abi","","","",""
"Yes","1995","Bremen","higher vocational","","","",""
"Yes","1995","Bremen","higher education","2","","",""
"Yes","1995","North Rhine-Westphalia","in school","","","",""
"Yes","1995","North Rhine-Westphalia","inadequately","10","","",""
"Yes","1995","North Rhine-Westphalia","general elemantary","27","","",""
"Yes","1995","North Rhine-Westphalia","middle vocational","159","0.195889276319193","0.167783410789721","0.223995141848664"
"Yes","1995","North Rhine-Westphalia","vocational + Abi","16","","",""
"Yes","1995","North Rhine-Westphalia","higher vocational","48","0.424998381503124","0.331331863946906","0.518664899059342"
"Yes","1995","North Rhine-Westphalia","higher education","101","0.447686038297858","0.382856391193063","0.512515685402652"
"Yes","1995","Hesse","in school","","","",""
"Yes","1995","Hesse","inadequately","3","","",""
"Yes","1995","Hesse","general elemantary","21","","",""
"Yes","1995","Hesse","middle vocational","68","0.261299058444656","0.21020243881725","0.312395678072063"
"Yes","1995","Hesse","vocational + Abi","6","","",""
"Yes","1995","Hesse","higher vocational","9","","",""
"Yes","1995","Hesse","higher education","28","","",""
"Yes","1995","Rhineland-Palatinate,Saarland","in school","","","",""
"Yes","1995","Rhineland-Palatinate,Saarland","inadequately","","","",""
"Yes","1995","Rhineland-Palatinate,Saarland","general elemantary","14","","",""
"Yes","1995","Rhineland-Palatinate,Saarland","middle vocational","47","0.252056062363484","0.19347058671262","0.310641538014348"
"Yes","1995","Rhineland-Palatinate,Saarland","vocational + Abi","","","",""
"Yes","1995","Rhineland-Palatinate,Saarland","higher vocational","8","","",""
"Yes","1995","Rhineland-Palatinate,Saarland","higher education","15","","",""
"Yes","1995","Baden-Württemberg","in school","","","",""
"Yes","1995","Baden-Württemberg","inadequately","14","","",""
"Yes","1995","Baden-Württemberg","general elemantary","28","","",""
"Yes","1995","Baden-Württemberg","middle vocational","84","0.197239534155299","0.16293963906621","0.231539429244388"
"Yes","1995","Baden-Württemberg","vocational + Abi","11","","",""
"Yes","1995","Baden-Württemberg","higher vocational","22","","",""
"Yes","1995","Baden-Württemberg","higher education","35","0.330873499949657","0.240874320641045","0.420872679258269"
"Yes","1995","Bavaria","in school","","","",""
"Yes","1995","Bavaria","inadequately","6","","",""
"Yes","1995","Bavaria","general elemantary","26","","",""
"Yes","1995","Bavaria","middle vocational","122","0.256624331190627","0.220577953788476","0.292670708592779"
"Yes","1995","Bavaria","vocational + Abi","5","","",""
"Yes","1995","Bavaria","higher vocational","27","","",""
"Yes","1995","Bavaria","higher education","46","0.406989841442442","0.322539916861142","0.491439766023742"
"Yes","1995","Berlin","in school","","","",""
"Yes","1995","Berlin","inadequately","1","","",""
"Yes","1995","Berlin","general elemantary","9","","",""
"Yes","1995","Berlin","middle vocational","50","0.341422555804407","0.267484320967261","0.415360790641554"
"Yes","1995","Berlin","vocational + Abi","2","","",""
"Yes","1995","Berlin","higher vocational","10","","",""
"Yes","1995","Berlin","higher education","37","0.38114500129057","0.285955805686794","0.476334196894346"
"Yes","1995","Brandenburg","in school","","","",""
"Yes","1995","Brandenburg","inadequately","","","",""
"Yes","1995","Brandenburg","general elemantary","2","","",""
"Yes","1995","Brandenburg","middle vocational","52","0.255079699732223","0.192095439489669","0.318063959974777"
"Yes","1995","Brandenburg","vocational + Abi","2","","",""
"Yes","1995","Brandenburg","higher vocational","7","","",""
"Yes","1995","Brandenburg","higher education","46","0.478697466829206","0.381274155574809","0.576120778083603"
"Yes","1995","Mecklenburg-Western Pomerania","in school","1","","",""
"Yes","1995","Mecklenburg-Western Pomerania","inadequately","","","",""
"Yes","1995","Mecklenburg-Western Pomerania","general elemantary","2","","",""
"Yes","1995","Mecklenburg-Western Pomerania","middle vocational","55","0.352903787045348","0.275914584392645","0.429892989698051"
"Yes","1995","Mecklenburg-Western Pomerania","vocational + Abi","1","","",""
"Yes","1995","Mecklenburg-Western Pomerania","higher vocational","3","","",""
"Yes","1995","Mecklenburg-Western Pomerania","higher education","35","0.533146496232843","0.411862079581133","0.654430912884553"
"Yes","1995","Saxony","in school","1","","",""
"Yes","1995","Saxony","inadequately","1","","",""
"Yes","1995","Saxony","general elemantary","8","","",""
"Yes","1995","Saxony","middle vocational","103","0.280600658800839","0.233597841071469","0.327603476530208"
"Yes","1995","Saxony","vocational + Abi","8","","",""
"Yes","1995","Saxony","higher vocational","7","","",""
"Yes","1995","Saxony","higher education","83","0.444551837117501","0.371958826099235","0.517144848135767"
"Yes","1995","Saxony-Anhalt","in school","","","",""
"Yes","1995","Saxony-Anhalt","inadequately","","","",""
"Yes","1995","Saxony-Anhalt","general elemantary","8","","",""
"Yes","1995","Saxony-Anhalt","middle vocational","49","0.236220819989889","0.17957547715047","0.292866162829307"
"Yes","1995","Saxony-Anhalt","vocational + Abi","3","","",""
"Yes","1995","Saxony-Anhalt","higher vocational","8","","",""
"Yes","1995","Saxony-Anhalt","higher education","58","0.477170700980918","0.384667678559347","0.569673723402489"
"Yes","1995","Thuringia","in school","1","","",""
"Yes","1995","Thuringia","inadequately","","","",""
"Yes","1995","Thuringia","general elemantary","5","","",""
"Yes","1995","Thuringia","middle vocational","47","0.223914434778531","0.170388288180216","0.277440581376846"
"Yes","1995","Thuringia","vocational + Abi","1","","",""
"Yes","1995","Thuringia","higher vocational","3","","",""
"Yes","1995","Thuringia","higher education","41","0.436524184166819","0.335726997228126","0.537321371105511"
"No","1995","Schleswig-Holstein","in school","","","",""
"No","1995","Schleswig-Holstein","inadequately","3","","",""
"No","1995","Schleswig-Holstein","general elemantary","18","","",""
"No","1995","Schleswig-Holstein","middle vocational","72","0.730336403257337","0.642021324722467","0.818651481792207"
"No","1995","Schleswig-Holstein","vocational + Abi","3","","",""
"No","1995","Schleswig-Holstein","higher vocational","2","","",""
"No","1995","Schleswig-Holstein","higher education","15","","",""
"No","1995","Hamburg","in school","","","",""
"No","1995","Hamburg","inadequately","3","","",""
"No","1995","Hamburg","general elemantary","8","","",""
"No","1995","Hamburg","middle vocational","33","0.833553392828993","0.718122439986577","0.94898434567141"
"No","1995","Hamburg","vocational + Abi","4","","",""
"No","1995","Hamburg","higher vocational","2","","",""
"No","1995","Hamburg","higher education","6","","",""
"No","1995","Lower Saxony","in school","","","",""
"No","1995","Lower Saxony","inadequately","14","","",""
"No","1995","Lower Saxony","general elemantary","83","0.802352428851478","0.723509385479285","0.88119547222367"
"No","1995","Lower Saxony","middle vocational","244","0.743953042108204","0.695678758323849","0.792227325892559"
"No","1995","Lower Saxony","vocational + Abi","21","","",""
"No","1995","Lower Saxony","higher vocational","33","0.660342253605665","0.534026791048005","0.786657716163324"
"No","1995","Lower Saxony","higher education","47","0.617402623229701","0.509543715267802","0.7252615311916"
"No","1995","Bremen","in school","","","",""
"No","1995","Bremen","inadequately","","","",""
"No","1995","Bremen","general elemantary","6","","",""
"No","1995","Bremen","middle vocational","14","","",""
"No","1995","Bremen","vocational + Abi","3","","",""
"No","1995","Bremen","higher vocational","3","","",""
"No","1995","Bremen","higher education","2","","",""
"No","1995","North Rhine-Westphalia","in school","2","","",""
"No","1995","North Rhine-Westphalia","inadequately","49","0.788097811493471","0.683822891093933","0.892372731893009"
"No","1995","North Rhine-Westphalia","general elemantary","213","0.842152723311347","0.796025592071649","0.888279854551045"
"No","1995","North Rhine-Westphalia","middle vocational","607","0.804110723680807","0.776004858151335","0.832216589210279"
"No","1995","North Rhine-Westphalia","vocational + Abi","64","0.737047900848237","0.640578567927787","0.833517233768686"
"No","1995","North Rhine-Westphalia","higher vocational","59","0.575001618496876","0.481335100940658","0.668668136053094"
"No","1995","North Rhine-Westphalia","higher education","125","0.552313961702143","0.487484314597348","0.617143608806937"
"No","1995","Hesse","in school","1","","",""
"No","1995","Hesse","inadequately","20","","",""
"No","1995","Hesse","general elemantary","86","0.744171927587537","0.661498309744651","0.826845545430423"
"No","1995","Hesse","middle vocational","216","0.738700941555344","0.687604321927937","0.78979756118275"
"No","1995","Hesse","vocational + Abi","21","","",""
"No","1995","Hesse","higher vocational","17","","",""
"No","1995","Hesse","higher education","54","0.657497615899969","0.554785883236987","0.760209348562951"
"No","1995","Rhineland-Palatinate,Saarland","in school","1","","",""
"No","1995","Rhineland-Palatinate,Saarland","inadequately","13","","",""
"No","1995","Rhineland-Palatinate,Saarland","general elemantary","70","0.838781468963804","0.760142041779867","0.91742089614774"
"No","1995","Rhineland-Palatinate,Saarland","middle vocational","164","0.747943937636516","0.689358461985652","0.80652941328738"
"No","1995","Rhineland-Palatinate,Saarland","vocational + Abi","10","","",""
"No","1995","Rhineland-Palatinate,Saarland","higher vocational","19","","",""
"No","1995","Rhineland-Palatinate,Saarland","higher education","21","","",""
"No","1995","Baden-Württemberg","in school","2","","",""
"No","1995","Baden-Württemberg","inadequately","64","0.854802219904848","0.776618991693723","0.932985448115974"
